"sku","storeid","cost","retail","sksinfo.zero"
3462190,6203,12.5,24.5,0
5798764,4803,34.78,49.99,0
5254780,402,19.4,42.0,0
5020082,3409,42.5,85.0,0
6866529,3209,15.0,24.5,1
5668123,5403,9.0,9.5,0
1379951,8503,54.75,148.0,0
8696555,4603,8.0,5.0,0
9886676,9909,23.75,14.75,0
1599934,5004,15.95,42.0,0
5640779,4103,18.21,49.0,0
3517620,7603,34.75,34.75,0
9888441,2307,31.0,69.0,1
2577499,8902,30.0,50.0,0
2490496,8202,21.6,54.0,0
5658481,4407,11.97,8.5,0
1834780,5704,19.65,42.0,0
5718482,8803,26.0,17.25,0
6000010,2607,8.89,28.0,0
7729135,7107,5.0,2.5,0
6580634,202,13.8,34.0,0
7339811,5103,34.0,69.0,1
8220157,4403,12.5,29.99,0
1087353,8603,18.21,12.25,0
379129,5704,122.84,495.0,0
5144426,8503,14.0,17.5,0
5277369,3902,7.5,10.0,0
8024326,6604,34.75,39.99,0
5378009,7703,28.5,19.5,0
2889744,4104,13.0,26.0,0
1167323,4907,275.0,595.0,0
4299799,3702,15.0,10.5,0
6194396,302,26.0,29.5,1
2060664,5603,6.0,12.99,0
2949682,4703,2.22,12.0,0
80629,8109,10.0,29.0,0
5816122,3207,7.7,11.0,0
8098770,1009,49.5,82.5,0
1279334,8609,8.1,10.0,0
7890390,3902,39.75,79.5,0
4191435,4307,11.0,39.5,0
8909290,1404,44.75,45.0,0
861268,7204,2.35,7.0,0
797301,9002,37.25,19.62,0
7270098,4503,54.0,138.0,0
6403530,8503,16.5,39.0,0
1507928,704,17.0,12.0,0
3259886,7004,20.0,19.75,1
2068669,6404,21.5,12.49,1
1826294,4303,8.1,10.0,0
2889460,4904,12.0,38.0,0
4798698,9002,31.57,52.93,0
9158220,2209,64.8,96.0,0
1649832,603,15.97,45.0,0
369850,3204,15.0,38.0,0
3988283,7604,7.0,14.99,0
2247427,704,39.75,39.75,0
488011,4307,28.75,59.5,0
3998507,8507,7.65,10.0,0
2259718,902,21.38,7.99,0
3069297,9002,20.0,39.5,1
2417745,3502,21.5,12.0,0
4220258,7507,2.41,4.02,0
340359,3209,10.4,34.0,0
9404159,4409,19.95,11.25,0
5878631,5302,34.0,75.0,1
5789666,5603,16.0,24.5,0
748774,7403,8.0,14.99,0
6279668,3103,175.0,134.3,0
6749451,104,5.4,13.5,0
7354589,1002,5.0,12.0,0
1261144,4207,5.4,15.0,0
8640321,3407,35.75,85.0,0
5609364,2203,32.68,88.0,0
7338480,4507,24.75,24.75,0
760851,1607,19.78,39.0,0
4790668,1702,6.0,14.0,0
9524224,707,17.55,9.75,0
9860702,9709,12.5,20.0,0
1161230,7407,25.0,69.0,0
2828975,3304,3.0,5.36,0
9487916,6804,20.25,22.5,0
7709286,3309,34.75,69.5,0
623782,5803,7.65,18.0,0
3794150,9302,18.6,31.0,0
2239531,7202,31.2,53.0,0
8871122,3707,15.0,39.0,0
2010606,6304,6.5,20.0,0
2330306,3504,7.75,20.0,0
1111305,8402,14.5,44.0,0
760350,8002,48.0,100.0,0
7258151,1307,16.13,11.25,0
829849,4004,13.75,29.0,0
6358699,7503,12.27,6.25,0
6148393,1702,29.75,29.75,0
2380498,6104,25.1,70.0,0
3960959,909,21.16,48.0,0
1710490,7404,24.0,54.0,0
714594,1202,34.75,17.38,0
4670590,2007,15.0,32.0,0
4338584,4407,225.0,187.0,0
8214429,2103,3.1,1.75,0
5279750,1004,8.51,18.5,0
1029958,603,4.4,12.0,0
228491,2502,21.0,35.0,0
5120138,5303,36.0,98.0,0
6988878,2007,11.88,8.75,0
8829876,4104,23.6,59.0,0
3356187,107,7.5,15.0,0
1419803,3202,14.87,40.0,0
2301910,9204,18.5,39.0,0
7527054,7302,9.85,16.0,0
6844429,4103,3.05,1.75,0
4449991,3207,15.96,18.0,0
3889658,7502,31.0,17.25,1
31634,5604,28.5,60.0,1
9328186,7303,19.78,24.99,0
1697898,2102,16.0,8.75,0
4584214,1004,7.5,20.0,0
5521340,5104,13.0,34.0,0
8697237,609,8.25,5.0,0
7009338,7703,19.75,39.5,0
4388355,6804,30.5,32.5,0
1248335,7904,25.0,14.99,0
9841713,4604,15.0,30.0,0
7699228,4607,30.82,37.0,0
559669,4707,42.5,85.0,0
8331172,1709,5.05,14.0,0
9128120,4904,2.1,1.5,0
9890449,2704,2.0,3.0,0
